date,ca_esp,ca_cb,jeton,fidelite,remb,ca_tot
2024-01-01,31.5,38.1,0.0,0.0,0.0,69.6
2024-01-02,52.3,152.5,0.0,0.0,0.0,204.8
2024-01-03,40.2,120.3,0.0,0.0,-10.0,160.5
2024-01-04,52.5,123.3,0.0,0.0,-20.0,175.8
2024-01-05,60.3,101.4,0.0,0.0,-10.0,161.7
2024-01-06,75.6,144.2,0.0,0.0,0.0,219.8
2024-01-07,77.7,68.0,0.0,0.0,0.0,145.7
2024-01-08,51.4,55.8,0.0,0.0,-10.0,107.2
2024-01-09,104.4,86.4,0.0,0.0,-20.0,190.8
2024-01-10,23.5,76.1,0.0,0.0,-10.0,99.6
2024-01-11,54.9,40.1,0.0,0.0,0.0,95.0
2024-01-12,17.8,148.0,0.0,0.0,-20.0,165.8
2024-01-13,55.5,71.5,0.0,0.0,0.0,127.0
2024-01-14,60.2,98.3,0.0,0.0,0.0,158.5
2024-01-15,16.9,125.0,0.0,0.0,-20.0,141.9
2024-01-16,29.0,58.2,0.0,0.0,0.0,87.2
2024-01-17,21.0,44.2,0.0,0.0,-10.0,65.2
2024-01-18,40.0,105.2,0.0,0.0,0.0,145.2
2024-01-19,39.0,74.2,0.0,0.0,-10.0,113.2
2024-01-20,61.5,26.0,0.0,0.0,0.0,87.5
2024-01-21,85.2,68.4,0.0,0.0,0.0,153.6
2024-01-22,45.8,111.9,0.0,0.0,-10.0,157.7
2024-01-23,62.7,60.7,0.0,0.0,0.0,123.4
2024-01-24,-3.0,99.0,0.0,0.0,-25.0,96.0
2024-01-25,48.7,113.6,0.0,0.0,0.0,162.3
2024-01-26,46.5,61.3,0.0,0.0,-10.0,107.8
2024-01-27,40.5,52.2,0.0,0.0,0.0,92.7
2024-01-28,46.4,53.0,0.0,0.0,0.0,99.4
2024-01-29,76.4,46.0,0.0,0.0,-10.0,122.4
2024-01-30,45.4,48.5,0.0,0.0,0.0,93.9
2024-01-31,51.6,87.6,0.0,0.0,-10.0,139.2
2024-02-01,47.4,50.5,0.0,0.0,0.0,97.9
2024-02-02,28.0,165.3,0.0,0.0,-10.0,193.3
2024-02-03,97.2,174.1,0.0,0.0,0.0,271.3
2024-02-04,68.7,102.1,0.0,0.0,0.0,170.8
2024-02-05,37.7,92.7,0.0,0.0,-10.0,130.4
2024-02-06,79.5,161.7,0.0,0.0,0.0,241.2
2024-02-07,33.5,60.7,0.0,0.0,0.0,94.2
2024-02-08,42.0,64.5,0.0,0.0,-10.0,106.5
2024-02-09,37.1,119.7,0.0,0.0,0.0,156.8
2024-02-10,29.2,60.0,0.0,0.0,0.0,89.2
2024-02-11,25.6,38.0,0.0,0.0,-20.0,63.6
2024-02-12,21.0,49.5,0.0,0.0,-10.0,70.5
2024-02-13,26.7,7.5,0.0,0.0,0.0,34.2
2024-02-14,76.5,42.2,0.0,0.0,-10.0,118.7
2024-02-15,128.2,136.9,0.0,0.0,0.0,265.1
2024-02-16,71.6,150.7,0.0,0.0,-10.0,222.3
2024-02-17,68.7,154.3,0.0,0.0,0.0,223.0
2024-02-18,39.6,117.1,0.0,0.0,-20.0,156.7
2024-02-19,50.5,58.6,0.0,0.0,-10.0,109.1
