id,date,total,trop_plein,deux_euros,un_euro,cinquante_centimes,vingt_centimes,dix_centimes,etat_avant,etat_apres
62,2023-06-20 08:59:42,25.0,0.0,11.0,2.0,2.0,0.0,0.0,181.5,206.5
63,2023-06-29 08:47:38,20.0,0.0,8.0,3.0,2.0,0.0,0.0,157.3,177.3
64,2023-07-09 12:01:04,79.4,0.0,20.0,22.0,11.0,34.0,51.0,18.1,97.5
65,2023-07-15 08:54:06,28.6,0.0,6.0,5.0,2.0,29.0,48.0,44.8,73.4
66,2023-07-17 08:29:36,142.9,1.0,43.0,38.0,24.0,30.0,9.0,45.0,187.9
67,2023-07-17 08:32:19,18.6,0.5,8.0,0.0,5.0,0.0,1.0,187.3,205.9
68,2023-07-17 08:33:40,20.0,0.0,9.0,1.0,1.0,1.0,3.0,185.9,205.9
69,2023-07-20 08:33:51,20.0,0.0,8.0,2.0,3.0,2.0,1.0,166.6,186.6
70,2023-07-28 07:49:03,20.0,0.0,9.0,1.0,1.0,2.0,1.0,192.3,212.3
71,2023-07-31 08:20:45,25.0,0.0,11.0,2.0,1.0,2.0,1.0,195.0,220.0
72,2023-08-03 09:33:06,19.9,0.0,9.0,1.0,1.0,2.0,0.0,160.3,180.2
73,2023-08-05 07:41:16,20.0,0.0,9.0,1.0,2.0,0.0,0.0,178.7,198.7
74,2023-08-11 08:45:09,5.0,2.0,1.0,3.0,0.0,0.0,0.0,204.1,209.1
75,2023-08-11 08:50:04,20.0,0.0,8.0,2.0,3.0,2.0,1.0,188.1,208.1
76,2023-08-14 09:25:52,20.0,0.0,9.0,1.0,2.0,0.0,0.0,190.3,210.3
77,2023-08-16 08:09:35,2.0,0.0,0.0,0.0,3.0,2.0,1.0,211.9,213.9
78,2023-08-28 12:25:47,25.0,0.0,10.0,3.0,3.0,2.0,1.0,110.1,135.1
79,2023-09-02 07:45:05,19.8,0.0,8.0,2.0,1.0,5.0,3.0,107.3,127.1
80,2023-09-04 06:38:55,1.0,0.0,0.0,0.0,0.0,4.0,2.0,118.3,119.3
81,2023-09-07 06:06:16,25.0,0.0,11.0,2.0,1.0,2.0,1.0,141.0,166.0
82,2023-09-09 07:58:15,25.0,0.0,10.0,3.0,3.0,2.0,1.0,89.5,114.5
83,2023-09-12 08:06:41,40.0,0.0,9.0,19.0,2.0,9.0,2.0,89.1,129.1
84,2023-09-12 08:08:39,10.0,0.0,0.0,0.0,12.0,16.0,8.0,129.1,139.1
85,2023-09-15 07:55:52,116.0,0.0,48.0,15.0,8.0,2.0,6.0,88.1,204.1
86,2023-09-15 07:57:11,20.0,0.0,9.0,1.0,1.0,2.0,1.0,184.1,204.1
87,2023-09-20 08:48:45,25.0,0.0,11.0,1.0,3.0,2.0,1.0,190.2,215.2
88,2023-09-23 10:04:49,25.0,0.0,11.0,0.0,5.0,2.0,1.0,159.7,184.7
89,2023-09-26 08:44:03,25.0,0.0,10.0,2.0,4.0,5.0,0.0,117.6,142.6
90,2023-09-26 08:44:17,2.0,0.0,1.0,0.0,0.0,0.0,0.0,140.6,142.6
91,2023-09-26 09:04:46,81.0,0.5,33.0,11.0,6.0,5.0,0.0,137.1,218.1
92,2023-10-05 09:02:50,141.5,0.2,36.0,45.0,29.0,39.0,22.0,38.1,179.6
93,2023-10-09 15:41:52,15.2,0.2,2.0,10.0,0.0,6.0,0.0,194.9,210.1
94,2023-10-09 15:43:51,20.0,0.0,9.0,0.0,3.0,2.0,1.0,190.1,210.1
95,2023-10-14 15:50:33,20.1,0.0,9.0,1.0,2.0,0.0,1.0,164.9,185.0
96,2023-10-17 08:45:11,58.0,3.0,28.0,2.0,0.0,0.0,0.0,162.2,220.2
97,2023-10-17 08:53:51,20.0,0.0,9.0,0.0,3.0,2.0,1.0,200.2,220.2
98,2023-10-21 08:15:05,20.0,0.0,8.0,3.0,1.0,2.0,1.0,130.0,150.0
99,2023-10-21 08:16:41,27.4,0.0,8.0,3.0,14.0,7.0,0.0,150.0,177.4
100,2023-10-21 08:32:01,4.0,0.0,0.0,0.0,0.0,0.0,40.0,177.4,181.4
101,2023-10-23 14:08:09,115.7,2.0,40.0,22.0,21.0,14.0,4.0,106.2,221.9
102,2023-11-13 08:27:37,20.0,0.0,8.0,3.0,2.0,0.0,0.0,151.0,171.0
103,2023-11-20 08:56:17,149.3,2.0,52.0,25.0,24.0,19.0,45.0,72.5,221.8
104,2023-11-20 08:57:14,1.7,0.2,0.0,0.0,0.0,6.0,5.0,222.0,223.7
105,2023-12-06 08:52:16,15.0,0.0,5.0,4.0,2.0,0.0,0.0,158.4,173.4
106,2023-12-06 08:56:56,33.1,0.2,10.0,2.0,10.0,25.0,11.0,173.4,206.5
107,2023-12-24 11:43:40,63.4,1.0,17.0,22.0,2.0,22.0,20.0,109.7,173.1
108,2023-12-28 10:13:12,20.0,0.0,9.0,1.0,1.0,2.0,1.0,149.0,169.0
109,2024-01-04 16:21:38,20.0,0.0,8.0,2.0,3.0,2.0,1.0,128.6,148.6
110,2024-01-04 16:22:48,2.6,0.2,0.0,2.0,0.0,3.0,0.0,148.6,151.2
111,2024-01-12 10:10:54,20.0,0.0,9.0,0.0,3.0,2.0,1.0,151.3,171.3
112,2024-02-02 09:31:01,117.9,0.2,34.0,40.0,5.0,36.0,2.0,29.9,147.8
113,2024-02-02 09:33:16,52.6,0.0,19.0,14.0,1.0,0.0,1.0,152.8,205.4
114,2024-02-11 08:01:04,144.8,0.0,38.0,50.0,21.0,40.0,3.0,24.3,169.1
115,2024-02-11 08:06:20,20.0,0.0,8.0,3.0,1.0,2.0,1.0,149.1,169.1
116,2024-02-18 07:44:04,20.0,0.0,9.0,1.0,2.0,0.0,0.0,170.4,190.4
117,2024-02-18 08:50:21,2.3,0.0,1.0,0.0,0.0,0.0,3.0,193.5,195.8
118,2024-03-16 08:44:26,15.0,0.0,5.0,3.0,3.0,2.0,1.0,89.3,104.3
119,2024-04-29 14:15:36,0.3,0.0,0.0,0.0,0.0,1.0,1.0,167.1,167.4
120,2024-05-10 16:52:51,4.0,0.0,0.0,0.0,0.0,0.0,40.0,146.7,150.7
121,2024-05-10 16:56:12,5.2,0.0,0.0,0.0,0.0,26.0,0.0,150.7,155.9
122,2024-05-11 16:42:39,0.6,0.0,0.0,0.0,0.0,3.0,0.0,156.2,156.8
123,2024-06-08 14:04:42,40.0,0.0,20.0,0.0,0.0,0.0,0.0,78.8,118.8
124,2024-06-10 18:11:22,20.0,0.0,10.0,0.0,0.0,0.0,0.0,29.4,49.4
125,2024-06-10 18:17:29,17.0,0.0,2.0,13.0,0.0,0.0,0.0,49.4,66.4
126,2024-06-10 18:22:06,6.3,0.0,0.0,0.0,5.0,17.0,4.0,66.4,72.7
127,2024-06-10 18:32:45,20.0,0.0,10.0,0.0,0.0,0.0,0.0,72.7,92.7
128,2024-06-17 10:13:05,12.5,0.0,0.0,0.0,25.0,0.0,0.0,144.8,157.3
129,2024-06-17 10:15:05,36.0,0.0,18.0,0.0,0.0,0.0,0.0,157.3,193.3
130,2024-06-17 10:17:13,3.8,0.0,0.0,0.0,0.0,19.0,0.0,193.3,197.1
131,2024-06-17 10:20:03,2.4,0.0,0.0,0.0,0.0,0.0,24.0,197.1,199.5
132,2024-06-17 10:25:10,25.5,0.0,0.0,25.0,1.0,0.0,0.0,199.0,224.5
133,2024-09-17 14:09:16,2.3,0.0,0.0,0.0,1.0,9.0,0.0,221.8,224.1
134,2024-09-17 14:10:42,0.4,0.0,0.0,0.0,0.0,0.0,4.0,224.1,224.5
135,2024-10-31 14:59:21,24.5,0.0,4.0,11.0,11.0,0.0,0.0,123.0,147.5
136,2025-01-14 15:34:15,8.8,0.0,3.0,2.0,0.0,3.0,2.0,214.1,222.9
137,2025-05-22 15:29:56,5.2,0.0,0.0,0.0,0.0,0.0,52.0,198.0,203.2
