ds,y,y_pred
2025-05-26,136.3,129.48414917160468
2025-05-27,109.0,129.48414917160468
2025-05-28,151.9,129.48414917160468
2025-05-29,198.9,162.14935152666732
2025-05-30,129.4,129.48414917160468
2025-06-02,125.1,129.48414917160468
2025-06-03,91.5,129.48414917160468
2025-06-04,46.5,127.11721767244858
2025-06-05,148.9,129.48414917160468
2025-06-06,109.3,129.48414917160468
2025-06-09,260.3,164.21105473292766
2025-06-10,133.6,129.48414917160468
2025-06-11,133.4,129.48414917160468
2025-06-12,143.7,129.48414917160468
2025-06-13,169.2,129.48414917160468
2025-06-16,123.2,129.48414917160468
2025-06-17,149.1,129.48414917160468
2025-06-18,187.8,129.48414917160468
2025-06-19,132.3,129.48414917160468
2025-06-20,107.0,129.48414917160468
2025-06-23,65.2,129.48414917160468
2025-06-24,57.5,129.48414917160468
2025-06-25,118.4,129.48414917160468
2025-06-26,48.5,129.48414917160468
2025-06-27,140.1,129.48414917160468
2025-06-30,128.4,129.48414917160468
