ds,yhat,yhat_lower,yhat_upper
2025-01-01,78.73287296698344,22.080271369989674,148.5032781272863
2025-01-02,163.39992083798677,102.16055311354312,227.7729757517677
2025-01-03,159.80531810831593,98.75791910092393,221.47770776021403
2025-01-04,207.80185921621384,145.95238368845662,270.1859733032854
2025-01-05,166.9387392180287,103.83151537432494,231.80637684060747
2025-01-06,159.55891387704935,97.89669171983142,221.93063837072262
2025-01-07,134.90386985305173,73.71872493879731,193.12572651802304
2025-01-08,136.87262271413348,69.10696407910054,200.9312562717765
2025-01-09,149.75399357788388,89.59264940372961,215.7468142335623
2025-01-10,157.9273978211035,100.9772585103783,221.9216129684565
2025-01-11,205.92393895119312,142.43844448860528,268.91705019407254
2025-01-12,176.82882593528907,111.80273004393854,240.00790996864063
2025-01-13,169.44900061662693,104.00563106443589,230.62634496882364
2025-01-14,139.84424381664064,78.80535622586719,199.40496348380265
2025-01-15,123.22669555257052,59.250748472230896,186.79021475298592
2025-01-16,147.8760733964983,81.56959282400854,210.79623189515803
2025-01-17,144.28147069991812,78.65085728212864,203.93093901301916
2025-01-18,204.04601880081066,136.17892192332295,266.8180377209175
2025-01-19,163.18289883563642,102.20050192893873,230.0166174630455
2025-01-20,155.8030735309827,89.71081029105027,214.16618983159523
2025-01-21,131.14802953024704,72.8656493246332,191.92740224620678
2025-01-22,121.34877545509613,60.879970827161216,188.09167315149213
2025-01-23,145.99815330227653,82.71819069766686,203.97847263129802
2025-01-24,142.40355060901055,84.50611871396961,204.95748059650637
2025-01-25,202.16809872025016,140.50326208309824,263.379965944291
2025-01-26,173.0729857254134,106.69179677549963,234.46251068269893
2025-01-27,153.92515346788096,94.7009180132324,217.49128019898558
2025-01-28,129.2701094742684,67.102269203899,195.46383275240603
2025-01-29,119.4708554330474,57.29746411225656,182.09067500094406
2025-01-30,144.12023331461137,85.25914774387675,211.30692947720686
2025-01-31,140.52563065546147,72.88893673563746,205.50784924579557
2025-02-01,200.29017879387675,138.49398658201633,258.78503101553684
2025-02-02,159.4270588661489,102.43682585015527,217.78428095669017
2025-02-03,163.8152405543684,103.13736800546887,225.77223848737427
2025-02-04,139.16019658647707,73.84588291040515,199.08390146825096
2025-02-05,129.36094254398392,67.22997961167357,195.1950836594855
2025-02-06,142.24231346409152,80.22913475611388,207.62952441907584
2025-02-07,138.64771081072573,77.58013739750876,200.57064183494148
2025-02-08,198.4122589548461,141.46962888548762,254.57360777088354
2025-02-09,157.5491390329566,90.17118118473579,220.53535705994742
2025-02-10,150.16931376827762,86.08177224107439,210.90659782964124
2025-02-11,125.51426980770741,61.54299675171012,190.71924210274804
2025-02-12,115.71501578198877,48.271608691445294,177.45912420173013
2025-02-13,152.13240063899545,86.34636291499055,220.05949883703911
2025-02-14,136.7697910354359,76.8225306401392,200.79877228698734
2025-02-15,196.53433918930264,133.53488329592187,256.3155439780922
2025-02-16,155.67121927716016,91.18385528536477,216.28522211978455
2025-02-17,148.29140266849603,84.06305901671031,209.21198893044613
2025-02-18,123.6363673638601,61.82543606035994,186.16883190007303
2025-02-19,113.8371219845857,52.68799691989942,178.52871925221774
2025-02-20,150.25451548789675,88.55783918731058,210.1747202150104
2025-02-21,146.65992150170473,81.6307255194455,208.54945514127525
2025-02-22,206.4244783132815,143.97144360756562,267.669417321203
2025-02-23,165.56136705875264,103.78293428172391,226.97313761699678
2025-02-24,146.4135435014968,83.78872577374867,208.17804176637054
2025-02-25,133.5265151681583,74.79523226642165,202.1194695210141
2025-02-26,111.95926283885234,50.69231085427478,170.7287571708826
2025-02-27,136.608649391815,73.19548823251634,199.16581081768032
2025-02-28,133.01405540431466,71.01702256069636,193.26778513731293
2025-03-01,192.77861221442686,133.36101678525267,252.06372808545083
2025-03-02,151.9155009635861,86.62353651764289,216.35509211045567
2025-03-03,144.53568436997276,80.68005710607777,206.1047667543695
2025-03-04,131.6486560405241,68.69834352319207,195.5330387265684
2025-03-05,110.08140371616238,45.89996523166611,173.61928410977316
2025-03-06,134.7307902744733,73.08195144814962,196.5538304678502
2025-03-07,131.13619628602518,63.604687312262776,193.6412571357216
2025-03-08,190.90075309511832,129.2296982021083,251.6060717718568
2025-03-09,161.8056487981233,95.71987718988568,225.50814693943016
2025-03-10,142.65782523848742,84.01178212245172,202.93111398517723
2025-03-11,129.7707969022986,67.94802811742383,190.4639294638805
2025-03-12,119.97155153132334,57.23112688703001,178.73974809597084
2025-03-13,132.85293112280024,71.14131284948296,196.57973329988388
2025-03-14,129.25833713384023,70.6181271034292,190.9329084402088
2025-03-15,200.7909009024189,137.76228803338842,262.3318705060619
2025-03-16,159.9277896483544,97.9323945624836,222.79191148092536
2025-03-17,152.54797305148068,91.93316096977968,211.84503968618682
2025-03-18,127.89293775878494,63.78919485318668,188.6844934056591
2025-03-19,106.32568543136489,44.47032537910759,164.7618721042531
2025-03-20,130.9750719863931,70.16966763644145,191.21373998990217
2025-03-21,127.38047800339174,65.25379361875726,191.42288409785328
2025-03-22,198.913041777858,131.0027583150525,252.82594756166867
2025-03-23,146.28192356622696,89.34230035359083,211.14983273591432
2025-03-24,138.90210697191847,77.59050964772638,199.2249727477656
2025-03-25,114.24707169074574,54.60366392975928,173.13835833004458
2025-03-26,104.44782633486454,40.93713551257901,168.66480135425536
2025-03-27,129.09721290152947,66.46471746358294,190.52972134133378
2025-03-28,137.27062588753714,75.12516815113914,201.81780463158498
2025-03-29,185.2671757511651,116.74610602594406,246.7703922183174
2025-03-30,156.17207147561828,95.11853010207129,219.02466799637048
2025-03-31,137.02424793734755,75.99972066234204,201.15714324177307
2025-04-01,112.36921266304162,48.391863478290155,175.47769648771336
2025-04-02,114.33797427418057,55.240526882114466,174.44812463583784
2025-04-03,138.98736085143523,75.18670685835374,202.37894972174365
2025-04-04,123.62475992797805,61.9992885354389,187.60428947015137
