ds,yhat,yhat_lower,yhat_upper
2025-01-04,223.0723790104876,149.76640718763466,293.9623799905061
2025-01-05,177.14506345214164,107.3785608854462,248.10102850989165
2025-01-11,219.04568952652696,148.05405775957107,289.53436990820387
2025-01-12,173.1183739665811,98.95412326795217,243.13962242420033
2025-01-18,215.01900003528198,143.26340403413815,288.34198997307067
2025-01-19,169.09168447430903,99.59161420042543,238.6703724797837
2025-01-25,247.1882512314888,171.5616581538684,320.9088517919028
2025-01-26,201.2609356690152,134.2814805827994,277.46699353934815
2025-02-01,206.96562102662787,132.90116027756164,279.96597583109053
2025-02-02,161.03830546472904,90.93394595783019,237.47198285947616
2025-02-08,202.93893151763973,135.57554994777834,270.14009091555766
2025-02-09,157.01161595597353,87.00938877050044,232.96857920381353
2025-02-15,198.91224201590842,129.9330075720319,268.3097193557282
2025-02-16,152.9849264542496,83.39969499622254,232.67455340001035
2025-02-22,194.8855525126207,118.20059037253175,267.97498377278083
2025-02-23,148.9582369506276,81.81509268362493,220.9722008383625
2025-03-01,190.85886300727026,119.49232842889087,261.640139272739
2025-03-02,144.931547445207,64.15938682569924,214.77228759427493
2025-03-08,186.83217350168326,110.0083983135409,256.4534778233945
2025-03-09,177.10079863963875,97.49973628931029,249.59138671414902
2025-03-15,182.80548399111206,111.69137982430789,251.6810435828423
2025-03-16,136.87816842760677,68.50275721714833,210.91186770628764
2025-03-22,178.77879447744914,113.35228173136302,252.58305189601103
2025-03-23,132.85147891472357,58.9273295782512,199.04326495185168
2025-03-29,210.94804566750355,138.64478993995442,284.87483787981256
2025-03-30,128.82478940394083,52.51970033520799,200.57934412738064
2025-04-05,170.72541544553127,96.83923942951253,242.7053165116821
2025-04-06,124.79809988208422,54.30302217592088,200.13191039906692
2025-04-12,202.89466662797332,130.251064852368,272.18317795529185
2025-04-13,120.77141036421375,43.26129255407168,191.46488116202383
2025-04-19,198.86797711065776,125.92138418821513,272.9390045521403
2025-04-20,116.7447208465717,42.30701774925266,188.7206614730638
2025-04-26,158.64534688580562,81.73447222567943,228.9887585991087
2025-04-27,112.71803132101095,44.78357467484396,190.28209436846103
2025-05-03,190.814598060224,115.64079515013601,265.05027225934896
2025-05-04,108.69134179533941,32.65166191622302,178.22382418348562
2025-05-10,150.5919678345693,75.69668749230306,220.40900300142775
2025-05-11,104.66465226972132,29.793301392592504,180.0131739283588
2025-05-17,146.56527830892875,76.69229105905175,221.37133024016268
2025-05-18,136.83390344404984,63.54344269652999,207.10262189615833
2025-05-24,178.734529483333,107.65588446248218,249.9063917191321
2025-05-25,96.611273218405,26.07858562565893,170.01196827055998
2025-05-26,147.96229670721706,77.9183000269392,214.23305223303524
2025-05-27,111.19112355660388,37.4475953651227,179.00438443245224
2025-05-28,110.61588639481097,37.0778780174404,186.27179341672434
2025-05-29,110.04062086680202,36.82192803519272,185.7304317963654
2025-05-30,145.6613393216581,73.03966450719415,219.44346850561047
2025-05-31,138.51189925769245,63.62702861208792,209.0960444783009
2025-06-01,92.58458369273345,20.491044730240123,163.06886913888928
2025-06-02,107.73966648151244,34.35366629256513,178.39238942918314
2025-06-03,107.16443403107995,34.33093660630174,181.17631226101304
2025-06-04,106.589196869198,36.72063901599878,181.83116641543938
