ds,y_true,y_pred
2025-05-25,99.5,139.56874
2025-05-31,95.7,214.19313
2025-06-01,183.7,139.56874
2025-06-07,80.2,214.19313
2025-06-08,51.0,139.56874
2025-06-14,164.2,184.30566
2025-06-15,173.4,174.0624
2025-06-21,179.2,184.30566
2025-06-22,87.4,139.56874
2025-06-28,209.1,214.19313
2025-06-29,80.0,139.56874
