ds,y_true,yhat_hybrid
2025-05-25,99.5,123.9676170711529
2025-05-26,136.3,128.04753604919608
2025-05-27,109.0,104.50911302321636
2025-05-28,151.9,94.89366274833034
2025-05-29,198.9,118.66294987643074
2025-05-30,129.4,115.61268827114576
2025-05-31,95.7,199.41717248254415
2025-06-01,183.7,122.39394617807356
2025-06-02,125.1,126.47386515604765
2025-06-03,91.5,102.93544213029901
2025-06-04,46.5,93.63332887590552
2025-06-05,148.9,117.0892789834267
2025-06-06,109.3,114.03901737815451
2025-06-07,80.2,197.84350158948703
2025-06-08,51.0,120.82027528503771
2025-06-09,260.3,125.21353128370818
2025-06-10,133.6,101.36177123715994
2025-06-11,133.4,91.74632096219779
2025-06-12,143.7,115.51560809032785
2025-06-13,169.2,112.4653464851066
2025-06-14,164.2,160.03096465151347
2025-06-15,173.4,155.48547043694995
2025-06-16,123.2,123.32652336992564
2025-06-17,149.1,99.78810034402088
2025-06-18,187.8,90.17265006924188
2025-06-19,132.3,113.94193719732378
2025-06-20,107.0,110.89167559207318
2025-06-21,179.2,158.45729375845633
2025-06-22,87.4,117.672933498983
2025-06-23,65.2,121.75285247694843
2025-06-24,57.5,98.21442945099267
2025-06-25,118.4,88.59897917605777
2025-06-26,48.5,112.36826630422587
2025-06-27,140.1,109.3180046989686
2025-06-28,209.1,193.12248891033022
2025-06-29,80.0,116.09926260590366
2025-06-30,128.4,120.17918158388561
