description,start_date,end_date,zones
Pont de l'Ascension,2023-05-17 22:00:00+00:00,2023-05-21 22:00:00+00:00,Zone A
Pont de l'Ascension,2023-05-17 22:00:00+00:00,2023-05-21 22:00:00+00:00,Zone A
Vacances d'Été,2023-07-07 22:00:00+00:00,2023-09-03 22:00:00+00:00,Zone A
Vacances d'Été,2023-07-07 22:00:00+00:00,2023-08-31 22:00:00+00:00,Zone A
Vacances de la Toussaint,2023-10-20 22:00:00+00:00,2023-11-05 23:00:00+00:00,Zone A
Vacances de la Toussaint,2023-10-20 22:00:00+00:00,2023-11-05 23:00:00+00:00,Zone A
Vacances de Noël,2023-12-22 23:00:00+00:00,2024-01-07 23:00:00+00:00,Zone A
Vacances de Noël,2023-12-22 23:00:00+00:00,2024-01-07 23:00:00+00:00,Zone A
Vacances de Noël,2023-12-22 23:00:00+00:00,2024-01-07 23:00:00+00:00,Zone A
Vacances de Noël,2023-12-22 23:00:00+00:00,2024-01-07 23:00:00+00:00,Zone A
Vacances de Noël,2023-12-22 23:00:00+00:00,2024-01-07 23:00:00+00:00,Zone A
Vacances de Noël,2023-12-22 23:00:00+00:00,2024-01-07 23:00:00+00:00,Zone A
Vacances d'Hiver,2024-02-16 23:00:00+00:00,2024-03-03 23:00:00+00:00,Zone A
Vacances d'Hiver,2024-02-16 23:00:00+00:00,2024-03-03 23:00:00+00:00,Zone A
Pont de l'Ascension,2024-05-08 22:00:00+00:00,2024-05-12 22:00:00+00:00,Zone A
Vacances d'Été,2024-07-05 22:00:00+00:00,2024-09-01 22:00:00+00:00,Zone A
Vacances de la Toussaint,2024-10-18 22:00:00+00:00,2024-11-03 23:00:00+00:00,Zone A
Vacances de Noël,2024-12-20 23:00:00+00:00,2025-01-05 23:00:00+00:00,Zone A
Vacances de Noël,2024-12-20 23:00:00+00:00,2025-01-05 23:00:00+00:00,Zone A
Vacances de Noël,2024-12-20 23:00:00+00:00,2025-01-05 23:00:00+00:00,Zone A
Vacances de Noël,2024-12-20 23:00:00+00:00,2025-01-05 23:00:00+00:00,Zone A
Vacances d'Hiver,2025-02-21 23:00:00+00:00,2025-03-09 23:00:00+00:00,Zone A
Vacances de Printemps,2025-04-18 22:00:00+00:00,2025-05-04 22:00:00+00:00,Zone A
Vacances de Printemps,2025-04-18 22:00:00+00:00,2025-05-04 22:00:00+00:00,Zone A
Pont de l'Ascension,2025-05-28 22:00:00+00:00,2025-06-01 22:00:00+00:00,Zone A
Vacances d'Été,2025-07-04 22:00:00+00:00,2025-08-31 22:00:00+00:00,Zone A
Vacances d'Été,2025-07-04 22:00:00+00:00,2025-08-31 22:00:00+00:00,Zone A
Vacances d'Été,2025-07-04 22:00:00+00:00,2025-08-28 22:00:00+00:00,Zone A
Vacances de la Toussaint,2025-10-17 22:00:00+00:00,2025-11-02 23:00:00+00:00,Zone A
Vacances de la Toussaint,2025-10-17 22:00:00+00:00,2025-11-02 23:00:00+00:00,Zone A
Vacances de Noël,2025-12-19 23:00:00+00:00,2026-01-04 23:00:00+00:00,Zone A
Vacances d'Hiver,2026-02-06 23:00:00+00:00,2026-02-22 23:00:00+00:00,Zone A
Vacances d'Hiver,2026-02-06 23:00:00+00:00,2026-02-22 23:00:00+00:00,Zone A
Vacances de Printemps,2026-04-03 22:00:00+00:00,2026-04-19 22:00:00+00:00,Zone A
Vacances de Printemps,2026-04-03 22:00:00+00:00,2026-04-19 22:00:00+00:00,Zone A
Pont de l'Ascension,2026-05-13 22:00:00+00:00,2026-05-17 22:00:00+00:00,Zone A
Pont de l'Ascension,2026-05-13 22:00:00+00:00,2026-05-17 22:00:00+00:00,Zone A
Pont de l'Ascension,2026-05-13 22:00:00+00:00,2026-05-17 22:00:00+00:00,Zone A
Vacances de la Toussaint,2017-10-20 22:00:00+00:00,2017-11-05 23:00:00+00:00,Zone B
Vacances de la Toussaint,2017-10-20 22:00:00+00:00,2017-11-05 23:00:00+00:00,Zone B
Vacances de la Toussaint,2017-10-20 22:00:00+00:00,2017-11-05 23:00:00+00:00,Zone B
Vacances de la Toussaint,2017-10-20 22:00:00+00:00,2017-11-05 23:00:00+00:00,Zone B
Vacances de la Toussaint,2017-10-20 22:00:00+00:00,2017-11-05 23:00:00+00:00,Zone B
Vacances de Noël,2017-12-22 23:00:00+00:00,2018-01-07 23:00:00+00:00,Zone B
Vacances de Noël,2017-12-22 23:00:00+00:00,2018-01-07 23:00:00+00:00,Zone B
Vacances d'Hiver,2018-02-23 23:00:00+00:00,2018-03-11 23:00:00+00:00,Zone B
Vacances d'Hiver,2018-02-23 23:00:00+00:00,2018-03-11 23:00:00+00:00,Zone B
Vacances d'Hiver,2018-02-23 23:00:00+00:00,2018-03-11 23:00:00+00:00,Zone B
Vacances de Printemps,2018-04-20 22:00:00+00:00,2018-05-06 22:00:00+00:00,Zone B
Vacances de Printemps,2018-04-20 22:00:00+00:00,2018-05-06 22:00:00+00:00,Zone B
Vacances d'Été,2018-07-06 22:00:00+00:00,2018-09-02 22:00:00+00:00,Zone B
Vacances d'Été,2018-07-06 22:00:00+00:00,2018-08-30 22:00:00+00:00,Zone B
Vacances de la Toussaint,2018-10-19 22:00:00+00:00,2018-11-04 23:00:00+00:00,Zone B
Vacances de la Toussaint,2018-10-19 22:00:00+00:00,2018-11-04 23:00:00+00:00,Zone B
Vacances de Noël,2018-12-21 23:00:00+00:00,2019-01-06 23:00:00+00:00,Zone B
Vacances de Noël,2018-12-21 23:00:00+00:00,2019-01-06 23:00:00+00:00,Zone B
Vacances de Noël,2018-12-21 23:00:00+00:00,2019-01-06 23:00:00+00:00,Zone B
Vacances de Noël,2018-12-21 23:00:00+00:00,2019-01-06 23:00:00+00:00,Zone B
Vacances d'Hiver,2019-02-08 23:00:00+00:00,2019-02-24 23:00:00+00:00,Zone B
Vacances d'Hiver,2019-02-08 23:00:00+00:00,2019-02-24 23:00:00+00:00,Zone B
Vacances de Printemps,2019-04-05 22:00:00+00:00,2019-04-22 22:00:00+00:00,Zone B
Pont de l'Ascension,2019-05-28 22:00:00+00:00,2019-06-02 22:00:00+00:00,Zone B
Pont de l'Ascension,2019-05-28 22:00:00+00:00,2019-06-02 22:00:00+00:00,Zone B
Pont de l'Ascension,2019-05-28 22:00:00+00:00,2019-06-02 22:00:00+00:00,Zone B
Pont de l'Ascension,2019-05-28 22:00:00+00:00,2019-06-02 22:00:00+00:00,Zone B
Vacances d'Été,2019-07-05 22:00:00+00:00,2019-09-01 22:00:00+00:00,Zone B
Vacances d'Été,2019-07-05 22:00:00+00:00,2019-09-01 22:00:00+00:00,Zone B
Vacances d'Été,2019-07-05 22:00:00+00:00,2019-09-01 22:00:00+00:00,Zone B
Vacances d'Été,2019-07-05 22:00:00+00:00,2019-08-29 22:00:00+00:00,Zone B
