date,heure,nb_demandes,kWh,kWh_heure
2024-04-01,8,1,38.766666666666666,0.923015873015873
2024-04-01,10,7,38.766666666666666,6.46111111111111
2024-04-01,11,10,38.766666666666666,9.23015873015873
2024-04-01,12,2,38.766666666666666,1.846031746031746
2024-04-01,13,4,38.766666666666666,3.692063492063492
2024-04-01,14,7,38.766666666666666,6.46111111111111
2024-04-01,15,1,38.766666666666666,0.923015873015873
2024-04-01,16,4,38.766666666666666,3.692063492063492
2024-04-01,17,1,38.766666666666666,0.923015873015873
2024-04-01,18,4,38.766666666666666,3.692063492063492
2024-04-01,19,1,38.766666666666666,0.923015873015873
2024-04-02,10,2,38.766666666666666,3.692063492063492
2024-04-02,11,3,38.766666666666666,5.538095238095238
2024-04-02,12,3,38.766666666666666,5.538095238095238
2024-04-02,13,3,38.766666666666666,5.538095238095238
2024-04-02,14,3,38.766666666666666,5.538095238095238
2024-04-02,15,2,38.766666666666666,3.692063492063492
2024-04-02,17,2,38.766666666666666,3.692063492063492
2024-04-02,18,3,38.766666666666666,5.538095238095238
2024-04-03,6,7,38.766666666666666,7.753333333333334
2024-04-03,9,1,38.766666666666666,1.1076190476190475
2024-04-03,11,1,38.766666666666666,1.1076190476190475
2024-04-03,12,5,38.766666666666666,5.538095238095238
2024-04-03,13,7,38.766666666666666,7.753333333333334
2024-04-03,14,3,38.766666666666666,3.322857142857143
2024-04-03,15,4,38.766666666666666,4.43047619047619
2024-04-03,16,2,38.766666666666666,2.215238095238095
2024-04-03,17,1,38.766666666666666,1.1076190476190475
2024-04-03,18,3,38.766666666666666,3.322857142857143
2024-04-03,19,1,38.766666666666666,1.1076190476190475
2024-04-04,8,2,38.766666666666666,2.871604938271605
2024-04-04,9,5,38.766666666666666,7.179012345679012
2024-04-04,10,4,38.766666666666666,5.74320987654321
2024-04-04,11,8,38.766666666666666,11.48641975308642
2024-04-04,14,1,38.766666666666666,1.4358024691358025
2024-04-04,15,2,38.766666666666666,2.871604938271605
2024-04-04,16,2,38.766666666666666,2.871604938271605
2024-04-04,17,2,38.766666666666666,2.871604938271605
2024-04-04,18,1,38.766666666666666,1.4358024691358025
2024-04-05,6,1,38.766666666666666,1.1401960784313725
2024-04-05,7,3,38.766666666666666,3.420588235294118
2024-04-05,8,2,38.766666666666666,2.280392156862745
2024-04-05,10,7,38.766666666666666,7.981372549019607
2024-04-05,11,5,38.766666666666666,5.700980392156863
2024-04-05,13,5,38.766666666666666,5.700980392156863
2024-04-05,14,6,38.766666666666666,6.841176470588236
2024-04-05,17,4,38.766666666666666,4.56078431372549
2024-04-05,18,1,38.766666666666666,1.1401960784313725
2024-04-06,6,4,38.766666666666666,6.2026666666666666
2024-04-06,10,1,38.766666666666666,1.5506666666666666
2024-04-06,11,8,38.766666666666666,12.405333333333333
2024-04-06,15,2,38.766666666666666,3.1013333333333333
2024-04-06,16,3,38.766666666666666,4.652
2024-04-06,17,5,38.766666666666666,7.753333333333334
2024-04-06,18,2,38.766666666666666,3.1013333333333333
2024-04-07,7,1,38.766666666666666,0.9015503875968992
2024-04-07,9,3,38.766666666666666,2.7046511627906975
2024-04-07,10,7,38.766666666666666,6.310852713178295
2024-04-07,11,6,38.766666666666666,5.409302325581395
2024-04-07,12,5,38.766666666666666,4.507751937984496
2024-04-07,13,2,38.766666666666666,1.8031007751937984
2024-04-07,14,1,38.766666666666666,0.9015503875968992
2024-04-07,15,4,38.766666666666666,3.606201550387597
2024-04-07,16,6,38.766666666666666,5.409302325581395
2024-04-07,17,5,38.766666666666666,4.507751937984496
2024-04-07,18,3,38.766666666666666,2.7046511627906975
2024-04-08,8,1,38.766666666666666,0.9015503875968992
2024-04-08,10,4,38.766666666666666,3.606201550387597
2024-04-08,11,6,38.766666666666666,5.409302325581395
2024-04-08,13,2,38.766666666666666,1.8031007751937984
2024-04-08,14,9,38.766666666666666,8.113953488372093
2024-04-08,15,9,38.766666666666666,8.113953488372093
2024-04-08,16,7,38.766666666666666,6.310852713178295
2024-04-08,17,1,38.766666666666666,0.9015503875968992
2024-04-08,19,1,38.766666666666666,0.9015503875968992
2024-04-08,22,3,38.766666666666666,2.7046511627906975
2024-04-09,8,2,38.766666666666666,2.215238095238095
2024-04-09,9,6,38.766666666666666,6.645714285714286
2024-04-09,10,6,38.766666666666666,6.645714285714286
2024-04-09,13,1,38.766666666666666,1.1076190476190475
2024-04-09,14,7,38.766666666666666,7.753333333333334
2024-04-09,15,4,38.766666666666666,4.43047619047619
2024-04-09,16,3,38.766666666666666,3.322857142857143
2024-04-09,17,2,38.766666666666666,2.215238095238095
2024-04-09,18,4,38.766666666666666,4.43047619047619
2024-04-10,13,3,38.766666666666666,8.946153846153846
2024-04-10,14,1,38.766666666666666,2.982051282051282
2024-04-10,15,1,38.766666666666666,2.982051282051282
2024-04-10,17,6,38.766666666666666,17.892307692307693
2024-04-10,18,2,38.766666666666666,5.964102564102564
2024-04-11,9,2,38.766666666666666,1.491025641025641
2024-04-11,10,2,38.766666666666666,1.491025641025641
2024-04-11,11,2,38.766666666666666,1.491025641025641
2024-04-11,12,6,38.766666666666666,4.473076923076923
2024-04-11,13,2,38.766666666666666,1.491025641025641
2024-04-11,14,14,38.766666666666666,10.437179487179487
2024-04-11,15,13,38.766666666666666,9.691666666666666
2024-04-11,16,4,38.766666666666666,2.982051282051282
2024-04-11,17,5,38.766666666666666,3.7275641025641026
2024-04-11,18,2,38.766666666666666,1.491025641025641
2024-04-12,8,2,38.766666666666666,1.6855072463768115
2024-04-12,9,6,38.766666666666666,5.056521739130434
2024-04-12,10,11,38.766666666666666,9.270289855072464
2024-04-12,11,4,38.766666666666666,3.371014492753623
2024-04-12,14,1,38.766666666666666,0.8427536231884057
2024-04-12,15,8,38.766666666666666,6.742028985507246
2024-04-12,16,9,38.766666666666666,7.584782608695653
2024-04-12,17,1,38.766666666666666,0.8427536231884057
2024-04-12,18,2,38.766666666666666,1.6855072463768115
2024-04-12,20,2,38.766666666666666,1.6855072463768115
2024-04-13,6,1,38.766666666666666,0.9455284552845529
2024-04-13,7,1,38.766666666666666,0.9455284552845529
2024-04-13,8,1,38.766666666666666,0.9455284552845529
2024-04-13,9,8,38.766666666666666,7.564227642276423
2024-04-13,10,4,38.766666666666666,3.7821138211382115
2024-04-13,11,4,38.766666666666666,3.7821138211382115
2024-04-13,12,6,38.766666666666666,5.673170731707317
2024-04-13,13,6,38.766666666666666,5.673170731707317
2024-04-13,14,2,38.766666666666666,1.8910569105691057
2024-04-13,16,2,38.766666666666666,1.8910569105691057
2024-04-13,18,4,38.766666666666666,3.7821138211382115
2024-04-13,19,2,38.766666666666666,1.8910569105691057
2024-04-14,8,6,38.766666666666666,5.286363636363636
2024-04-14,9,1,38.766666666666666,0.8810606060606061
2024-04-14,10,4,38.766666666666666,3.5242424242424244
2024-04-14,11,3,38.766666666666666,2.643181818181818
2024-04-14,12,3,38.766666666666666,2.643181818181818
2024-04-14,13,6,38.766666666666666,5.286363636363636
2024-04-14,14,1,38.766666666666666,0.8810606060606061
2024-04-14,15,5,38.766666666666666,4.40530303030303
2024-04-14,16,5,38.766666666666666,4.40530303030303
2024-04-14,17,1,38.766666666666666,0.8810606060606061
2024-04-14,18,5,38.766666666666666,4.40530303030303
2024-04-14,19,4,38.766666666666666,3.5242424242424244
2024-04-15,8,2,38.766666666666666,3.1013333333333333
2024-04-15,9,1,38.766666666666666,1.5506666666666666
2024-04-15,10,2,38.766666666666666,3.1013333333333333
2024-04-15,15,4,38.766666666666666,6.2026666666666666
2024-04-15,16,8,38.766666666666666,12.405333333333333
2024-04-15,17,3,38.766666666666666,4.652
2024-04-15,18,2,38.766666666666666,3.1013333333333333
2024-04-15,19,3,38.766666666666666,4.652
2024-04-16,6,1,38.766666666666666,1.6152777777777776
2024-04-16,9,3,38.766666666666666,4.845833333333333
2024-04-16,10,4,38.766666666666666,6.46111111111111
2024-04-16,11,2,38.766666666666666,3.230555555555555
2024-04-16,13,3,38.766666666666666,4.845833333333333
2024-04-16,14,1,38.766666666666666,1.6152777777777776
2024-04-16,15,3,38.766666666666666,4.845833333333333
2024-04-16,16,5,38.766666666666666,8.07638888888889
2024-04-16,17,1,38.766666666666666,1.6152777777777776
2024-04-16,19,1,38.766666666666666,1.6152777777777776
2024-04-17,2,1,38.766666666666666,0.9015503875968992
2024-04-17,8,1,38.766666666666666,0.9015503875968992
2024-04-17,9,1,38.766666666666666,0.9015503875968992
2024-04-17,10,1,38.766666666666666,0.9015503875968992
2024-04-17,11,1,38.766666666666666,0.9015503875968992
2024-04-17,12,3,38.766666666666666,2.7046511627906975
2024-04-17,13,2,38.766666666666666,1.8031007751937984
2024-04-17,14,5,38.766666666666666,4.507751937984496
2024-04-17,15,4,38.766666666666666,3.606201550387597
2024-04-17,16,10,38.766666666666666,9.015503875968992
2024-04-17,17,10,38.766666666666666,9.015503875968992
2024-04-17,18,2,38.766666666666666,1.8031007751937984
2024-04-17,19,2,38.766666666666666,1.8031007751937984
2024-04-18,6,2,38.766666666666666,2.0954954954954954
2024-04-18,7,1,38.766666666666666,1.0477477477477477
2024-04-18,8,1,38.766666666666666,1.0477477477477477
2024-04-18,9,2,38.766666666666666,2.0954954954954954
2024-04-18,10,2,38.766666666666666,2.0954954954954954
2024-04-18,11,2,38.766666666666666,2.0954954954954954
2024-04-18,12,1,38.766666666666666,1.0477477477477477
2024-04-18,13,1,38.766666666666666,1.0477477477477477
2024-04-18,14,1,38.766666666666666,1.0477477477477477
2024-04-18,16,4,38.766666666666666,4.190990990990991
2024-04-18,17,6,38.766666666666666,6.286486486486487
2024-04-18,18,11,38.766666666666666,11.525225225225226
2024-04-18,19,3,38.766666666666666,3.1432432432432433
2024-04-19,8,2,38.766666666666666,2.982051282051282
2024-04-19,9,2,38.766666666666666,2.982051282051282
2024-04-19,11,2,38.766666666666666,2.982051282051282
2024-04-19,12,2,38.766666666666666,2.982051282051282
2024-04-19,13,3,38.766666666666666,4.473076923076923
2024-04-19,14,5,38.766666666666666,7.455128205128205
2024-04-19,15,2,38.766666666666666,2.982051282051282
2024-04-19,17,6,38.766666666666666,8.946153846153846
2024-04-19,18,1,38.766666666666666,1.491025641025641
2024-04-19,19,1,38.766666666666666,1.491025641025641
2024-04-20,6,3,38.766666666666666,2.0051724137931033
2024-04-20,8,2,38.766666666666666,1.3367816091954023
2024-04-20,9,8,38.766666666666666,5.347126436781609
2024-04-20,10,4,38.766666666666666,2.6735632183908047
2024-04-20,11,6,38.766666666666666,4.010344827586207
2024-04-20,12,4,38.766666666666666,2.6735632183908047
2024-04-20,14,6,38.766666666666666,4.010344827586207
2024-04-20,15,4,38.766666666666666,2.6735632183908047
2024-04-20,16,4,38.766666666666666,2.6735632183908047
2024-04-20,17,15,38.766666666666666,10.025862068965518
2024-04-20,18,1,38.766666666666666,0.6683908045977012
2024-04-20,19,1,38.766666666666666,0.6683908045977012
2024-04-21,9,1,38.766666666666666,0.8427536231884057
2024-04-21,10,5,38.766666666666666,4.213768115942028
2024-04-21,11,7,38.766666666666666,5.899275362318841
2024-04-21,12,10,38.766666666666666,8.427536231884057
2024-04-21,13,5,38.766666666666666,4.213768115942028
2024-04-21,14,2,38.766666666666666,1.6855072463768115
2024-04-21,16,5,38.766666666666666,4.213768115942028
2024-04-21,17,5,38.766666666666666,4.213768115942028
2024-04-21,18,5,38.766666666666666,4.213768115942028
2024-04-21,23,1,38.766666666666666,0.8427536231884057
2024-04-22,8,1,38.766666666666666,1.3845238095238095
2024-04-22,9,3,38.766666666666666,4.1535714285714285
2024-04-22,10,1,38.766666666666666,1.3845238095238095
2024-04-22,11,5,38.766666666666666,6.9226190476190474
2024-04-22,12,6,38.766666666666666,8.307142857142857
2024-04-22,13,1,38.766666666666666,1.3845238095238095
2024-04-22,15,3,38.766666666666666,4.1535714285714285
2024-04-22,16,2,38.766666666666666,2.769047619047619
2024-04-22,18,6,38.766666666666666,8.307142857142857
2024-04-23,7,1,38.766666666666666,1.3367816091954023
2024-04-23,8,1,38.766666666666666,1.3367816091954023
2024-04-23,9,1,38.766666666666666,1.3367816091954023
2024-04-23,10,6,38.766666666666666,8.020689655172413
2024-04-23,11,6,38.766666666666666,8.020689655172413
2024-04-23,12,2,38.766666666666666,2.6735632183908047
2024-04-23,14,6,38.766666666666666,8.020689655172413
2024-04-23,15,4,38.766666666666666,5.347126436781609
2024-04-23,16,1,38.766666666666666,1.3367816091954023
2024-04-23,20,1,38.766666666666666,1.3367816091954023
