id,date,total,trop_plein,deux_euros,un_euro,cinquante_centimes,vingt_centimes,dix_centimes,etat_avant,etat_apres
18,2024-08-21 08:17:22,8.1,0.0,0.0,0.0,9.0,11.0,14.0,185.0,193.1
19,2024-08-21 08:22:21,15.0,0.0,0.0,0.0,18.0,14.0,32.0,193.1,208.1
20,2024-09-05 10:13:51,160.1,0.0,60.0,22.0,23.0,32.0,2.0,45.1,205.2
21,2024-10-15 09:04:10,42.9,0.0,18.0,4.0,3.0,4.0,6.0,156.2,199.1
22,2024-11-17 10:05:47,2.1,0.0,1.0,0.0,0.0,0.0,1.0,179.1,181.2
23,2025-02-17 14:25:37,112.0,2.0,34.0,19.0,42.0,18.0,4.0,92.7,204.7
24,2025-02-21 08:48:05,20.0,0.0,9.0,1.0,2.0,0.0,0.0,175.7,195.7
25,2025-04-10 08:54:52,70.5,2.0,32.0,0.0,13.0,0.0,0.0,109.2,179.7
26,2025-04-10 08:56:15,20.0,2.0,9.0,0.0,3.0,1.0,3.0,159.7,179.7
27,2025-05-01 07:57:24,8.0,0.0,4.0,0.0,0.0,0.0,0.0,182.7,190.7
